finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity	scope
FINDING_1	Cursor-Arch, Codex-Pragmatic, Codex-Requirements, Cursor-dyn-Routing Matrix Auditor	accepted	YES	true	major	good	false	codex-validity	YES	true	major	excellent	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	major	in_scope
FINDING_2	Cursor-Arch, Codex-Innovation, Cursor-dyn-Routing Matrix Auditor	accepted	YES	true	major	good	false	codex-validity	YES	true	major	excellent	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	major	in_scope
FINDING_3	Cursor-Arch, Codex-Arch, Cursor-Requirements, Codex-dyn-Routing Matrix Auditor	accepted	YES	true	major	good	false	codex-validity	YES	true	major	good	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	major	in_scope
FINDING_4	Cursor-Innovation, Cursor-Requirements, Cursor-dyn-Routing Matrix Auditor, Codex-dyn-Routing Matrix Auditor	rejected	NO	true	minor	adequate	false	codex-validity	NO	true	minor	adequate	false	codex-plan-fidelity	NO	true	minor	adequate	false	codex-pragmatism	major	in_scope
FINDING_5	Cursor-Innovation, Cursor-dyn-Routing Matrix Auditor, Codex-dyn-Routing Matrix Auditor	accepted	YES	true	major	good	false	codex-validity	YES	true	major	good	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	major	in_scope
FINDING_6	Cursor-Innovation, Cursor-Pragmatic, Cursor-Requirements, Cursor-dyn-Routing Matrix Auditor	accepted	YES	true	major	good	false	codex-validity	YES	true	major	good	false	codex-plan-fidelity	YES	true	major	adequate	false	codex-pragmatism	major	in_scope
FINDING_7	Cursor-Requirements	accepted	YES	true	major	good	false	codex-validity	YES	true	major	good	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	major	in_scope
FINDING_8	Cursor-dyn-Routing Matrix Auditor	rejected	NO	true	minor	adequate	false	codex-validity	NO	partially-true	minor	adequate	false	codex-plan-fidelity	NO	true	minor	adequate	false	codex-pragmatism	minor	in_scope
FINDING_9	Codex-Requirements	rejected	NO	true	minor	adequate	false	codex-validity	NO	true	nit	adequate	false	codex-plan-fidelity	NO	true	minor	adequate	false	codex-pragmatism	minor	in_scope
FINDING_10	Codex-Pragmatic	accepted	YES	true	major	good	false	codex-validity	YES	true	major	good	false	codex-plan-fidelity	YES	true	minor	adequate	false	codex-pragmatism	major	in_scope
FINDING_11	Cursor-dyn-Routing Matrix Auditor	rejected	NO	true	minor	adequate	false	codex-validity	NO	false-positive	nit	no-fix	false	codex-plan-fidelity	NO	true	minor	adequate	false	codex-pragmatism	minor	in_scope
OOS_1	Cursor-Arch	accepted	YES	true	minor	good	false	codex-validity	YES	true	minor	good	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	minor	oos
OOS_2	Cursor-Innovation	neutral	YES	true	minor	adequate	false	codex-validity	NO	false-positive	nit	no-fix	false	codex-plan-fidelity	NO	partially-true	minor	adequate	false	codex-pragmatism	minor	oos
OOS_3	Cursor-Innovation	rejected	NO	true	minor	adequate	false	codex-validity	NO	true	nit	no-fix	false	codex-plan-fidelity	NO	true	minor	adequate	false	codex-pragmatism	minor	oos
OOS_4	Cursor-Innovation	rejected	NO	partially-true	minor	weak	false	codex-validity	NO	true	nit	no-fix	false	codex-plan-fidelity	NO	partially-true	minor	adequate	false	codex-pragmatism	minor	oos
OOS_5	Cursor-Pragmatic	rejected	NO	true	minor	adequate	false	codex-validity	NO	true	minor	adequate	false	codex-plan-fidelity	NO	true	minor	adequate	false	codex-pragmatism	minor	oos
OOS_6	Cursor-Pragmatic	rejected	NO	partially-true	minor	weak	false	codex-validity	NO	true	nit	no-fix	false	codex-plan-fidelity	NO	partially-true	minor	adequate	false	codex-pragmatism	minor	oos
