archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	0	0	0	n/a
correctness	correctness	1	0	0	0	n/a
edge-cases	correctness	1	0	0	0	n/a
edge-cases	correctness	1	0	0	0	n/a
testing	risk-integration	1	0	0	0	n/a
testing	risk-integration	1	0	0	0	n/a
generic	code-quality	1	0	0	0	n/a
dyn-dyn-flag-contract	correctness	1	0	0	0	n/a
dyn-dyn-flag-contract-codex	correctness	1	0	0	0	n/a
dyn-dyn-closure-ratchet	risk-integration	1	0	0	0	n/a
dyn-dyn-closure-ratchet-codex	risk-integration	1	0	0	0	n/a
