archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	3	0	1	0.000000
correctness	correctness	1	3	3	0	1.000000
edge-cases	correctness	1	3	2	0	0.666667
edge-cases	correctness	1	2	2	0	1.000000
testing	risk-integration	1	3	2	1	0.666667
testing	risk-integration	1	2	2	0	1.000000
dyn-mav-flow	correctness	1	2	0	0	0.000000
dyn-mav-flow-codex	correctness	1	0	0	0	n/a
dyn-mav-harness	risk-integration	1	5	3	1	0.600000
dyn-mav-harness-codex	risk-integration	1	0	0	0	n/a
