round	tool	slot	label	accepted_count
1	cursor	cursor-plan-arch	Cursor-Arch	1
1	codex	codex-plan-arch	Codex-Arch	0
1	cursor	cursor-plan-innovation	Cursor-Innovation	2
1	codex	codex-plan-innovation	Codex-Innovation	0
1	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	1
1	codex	codex-plan-pragmatic	Codex-Pragmatic	0
1	cursor	cursor-plan-requirements	Cursor-Requirements	3
1	codex	codex-plan-requirements	Codex-Requirements	0
1	cursor	dyn-cursor-plan-post-dispatch-correctness	Cursor-dyn-post-dispatch-correctness	1
1	codex	dyn-codex-plan-post-dispatch-correctness	Codex-dyn-post-dispatch-correctness	0
2	cursor	cursor-plan-arch	Cursor-Arch	0
2	cursor	cursor-plan-innovation	Cursor-Innovation	1
2	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	1
2	cursor	cursor-plan-requirements	Cursor-Requirements	1
2	codex	codex-plan-generic	Codex-Generic	0
3	cursor	cursor-plan-arch	Cursor-Arch	0
3	cursor	cursor-plan-innovation	Cursor-Innovation	0
3	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	0
3	cursor	cursor-plan-requirements	Cursor-Requirements	0
3	codex	codex-plan-generic	Codex-Generic	0
