site	phase	round_num	slot	slot_kind	tool	output	prompt_bytes	prompt_tokens	scaffold_bytes	scaffold_tokens	payload_bytes	payload_tokens	agent_file	agent_bytes	agent_tokens
implement Step 5	phase1	1	dyn-dyn-lint-scope-codex	specialist	codex	dyn-dyn-lint-scope-codex-output.txt	39010	9753	10006	2502	29004	7251		0	0
implement Step 5	phase1	1	dyn-dyn-lint-scope	specialist	cursor	dyn-dyn-lint-scope-output.txt	39010	9753	10006	2502	29004	7251		0	0
implement Step 5	phase1	1	correctness	specialist	cursor	cursor-specialist-correctness-output.txt	42307	10577	13778	3445	28529	7133	agents/reviewer-correctness.md	5814	1454
implement Step 5	phase1	1	edge-cases	specialist	codex	codex-specialist-edge-cases-output.txt	42573	10644	14044	3511	28529	7133	agents/reviewer-edge-cases.md	6117	1530
implement Step 5	phase1	1	correctness	specialist	codex	codex-specialist-correctness-output.txt	42307	10577	13778	3445	28529	7133	agents/reviewer-correctness.md	5814	1454
implement Step 5	phase1	1	testing	specialist	codex	codex-specialist-testing-output.txt	42015	10504	13486	3372	28529	7133	agents/reviewer-testing.md	5584	1396
implement Step 5	phase1	1	edge-cases	specialist	cursor	cursor-specialist-edge-cases-output.txt	42573	10644	14044	3511	28529	7133	agents/reviewer-edge-cases.md	6117	1530
implement Step 5	phase1	1	testing	specialist	cursor	cursor-specialist-testing-output.txt	42015	10504	13486	3372	28529	7133	agents/reviewer-testing.md	5584	1396
review Step 2	phase1	1	aggregator	aggregator	codex	aggregator-output.txt	26317	6580	4174	1044	22143	5536	agents/orchestrator-aggregator.md	4397	1100
implement Step 5	phase1	1	voter-1	voter	codex	codex-validity-vote-output.txt	8638	2160	8374	2094	264	66		0	0
implement Step 5	phase1	1	voter-2	voter	codex	codex-plan-fidelity-vote-output.txt	8984	2246	8720	2180	264	66		0	0
implement Step 5	phase1	1	voter-3	voter	codex	codex-pragmatism-vote-output.txt	8695	2174	8431	2108	264	66		0	0
review.fix_coder	review.fix_coder	1	implementer	implementer	codex	coder-output.log	1746	437	0	0	3566	892		0	0
