round	tool	slot	label	accepted_count	weighted_accepted_count	rejected_count	total_count
1	cursor	cursor-plan-arch	Cursor-Arch	2	3	0	2
1	codex	codex-plan-arch	Codex-Arch	0	0	0	0
1	cursor	cursor-plan-innovation	Cursor-Innovation	0	0	0	0
1	codex	codex-plan-innovation	Codex-Innovation	0	0	0	0
1	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	3	5	0	3
1	codex	codex-plan-pragmatic	Codex-Pragmatic	1	2	0	1
1	cursor	cursor-plan-requirements	Cursor-Requirements	3	5	0	3
1	codex	codex-plan-requirements	Codex-Requirements	1	2	1	2
1	cursor	dyn-cursor-plan-tail-output-contract	Cursor-dyn-Tail Output Contract	2	4	0	2
1	codex	dyn-codex-plan-tail-output-contract	Codex-dyn-Tail Output Contract	1	2	1	2
2	cursor	cursor-plan-arch	Cursor-Arch	1	2	2	3
2	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	1	2	1	2
2	codex	codex-plan-pragmatic	Codex-Pragmatic	0	0	0	0
2	cursor	cursor-plan-requirements	Cursor-Requirements	1	2	2	3
2	codex	codex-plan-requirements	Codex-Requirements	1	2	0	1
