round	tool	slot	label	accepted_count	weighted_accepted_count	rejected_count	total_count
1	cursor	cursor-plan-arch	Cursor-Arch	1	2	1	2
1	codex	codex-plan-arch	Codex-Arch	0	0	0	0
1	cursor	cursor-plan-innovation	Cursor-Innovation	0	0	4	4
1	codex	codex-plan-innovation	Codex-Innovation	0	0	0	0
1	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	0	0	0	1
1	codex	codex-plan-pragmatic	Codex-Pragmatic	0	0	0	0
1	cursor	cursor-plan-requirements	Cursor-Requirements	0	0	0	0
1	codex	codex-plan-requirements	Codex-Requirements	0	0	0	0
1	codex	codex-plan-generic	Codex-Generic	0	0	0	0
1	cursor	dyn-cursor-plan-dead-reference-auditor	Cursor-dyn-Dead Reference Auditor	0	0	0	0
1	codex	dyn-codex-plan-dead-reference-auditor	Codex-dyn-Dead Reference Auditor	0	0	0	0
2	cursor	cursor-plan-arch	Cursor-Arch	0	0	0	1
