round	tool	slot	label	accepted_count	weighted_accepted_count	rejected_count	total_count
1	cursor	cursor-plan-arch	Cursor-Arch	1	2	0	1
1	codex	codex-plan-arch	Codex-Arch	1	2	0	1
1	cursor	cursor-plan-innovation	Cursor-Innovation	3	5	2	5
1	codex	codex-plan-innovation	Codex-Innovation	0	0	0	0
1	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	2	4	0	2
1	codex	codex-plan-pragmatic	Codex-Pragmatic	2	4	0	2
1	cursor	cursor-plan-requirements	Cursor-Requirements	1	2	0	1
1	codex	codex-plan-requirements	Codex-Requirements	1	2	0	1
1	cursor	dyn-cursor-plan-design-log-security	Cursor-dyn-Design Log Security	2	4	0	2
1	codex	dyn-codex-plan-design-log-security	Codex-dyn-Design Log Security	2	4	1	3
2	cursor	cursor-plan-arch	Cursor-Arch	2	4	1	3
2	codex	codex-plan-arch	Codex-Arch	1	2	0	1
2	cursor	cursor-plan-innovation	Cursor-Innovation	0	0	0	0
2	codex	codex-plan-innovation	Codex-Innovation	0	0	0	0
2	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	1	2	1	2
2	codex	codex-plan-pragmatic	Codex-Pragmatic	1	2	0	1
2	cursor	cursor-plan-requirements	Cursor-Requirements	0	0	0	0
2	codex	codex-plan-requirements	Codex-Requirements	1	2	0	1
3	cursor	cursor-plan-arch	Cursor-Arch	0	0	0	0
3	codex	codex-plan-arch	Codex-Arch	0	0	1	2
3	cursor	cursor-plan-innovation	Cursor-Innovation	0	0	0	1
3	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	0	0	0	0
3	codex	codex-plan-pragmatic	Codex-Pragmatic	0	0	0	1
3	cursor	cursor-plan-requirements	Cursor-Requirements	2	4	0	2
3	codex	codex-plan-requirements	Codex-Requirements	0	0	0	0
4	cursor	cursor-plan-arch	Cursor-Arch	0	0	0	1
4	codex	codex-plan-arch	Codex-Arch	0	0	0	0
4	cursor	cursor-plan-pragmatic	Cursor-Pragmatic	0	0	1	3
4	codex	codex-plan-pragmatic	Codex-Pragmatic	0	0	0	1
4	cursor	cursor-plan-requirements	Cursor-Requirements	0	0	0	0
4	codex	codex-plan-requirements	Codex-Requirements	0	0	1	1
