finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity	scope
FINDING_1	Cursor-Arch, Cursor-Pragmatic	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important	in_scope
FINDING_2	Cursor-Arch	accepted	YES	true	major	good	true	Claude	YES	true	major	good	false	Codex	YES	true	blocker	excellent	false	Cursor	blocking	in_scope
FINDING_3	Cursor-Arch	accepted	YES	true	major	good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important	in_scope
FINDING_4	Cursor-Innovation	accepted	YES	true	major	good	false	Claude	NO	partially-true	major	adequate	false	Codex	YES	true	major	good	false	Cursor	important	in_scope
FINDING_5	Cursor-Pragmatic	accepted	YES	true	major	good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important	in_scope
FINDING_6	Cursor-Pragmatic	neutral	NO	true	minor	good	false	Claude	NO	partially-true	minor	adequate	false	Codex	YES	true	major	good	false	Cursor	important	in_scope
FINDING_7	Codex-Pragmatic	neutral	NO	true	minor	adequate	false	Claude	NO	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important	in_scope
FINDING_8	Cursor-Requirements	neutral	NO	partially-true	minor	adequate	true	Claude	NO	partially-true	major	adequate	false	Codex	YES	true	major	excellent	false	Cursor	important	in_scope
FINDING_9	Cursor-Innovation	accepted	YES	true	major	excellent	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important	in_scope
FINDING_10	Cursor-Innovation	neutral	NO	partially-true	minor	adequate	false	Claude	NO	false-positive	minor	adequate	false	Codex	YES	true	minor	good	false	Cursor	important	in_scope
OOS_1	Cursor-Innovation	rejected	NO	true	nit	adequate	false	Claude	NO	partially-true	nit	adequate	false	Codex	NO	true	nit	adequate	false	Cursor	latent	oos
OOS_2	Codex-Innovation	rejected	NO	true	nit	adequate	false	Claude	NO	partially-true	nit	adequate	false	Codex	NO	true	nit	adequate	false	Cursor	nit	oos
OOS_3	Cursor-Pragmatic	rejected	NO	true	nit	adequate	false	Claude	NO	partially-true	nit	adequate	false	Codex	NO	true	nit	adequate	false	Cursor	latent	oos
OOS_4	Cursor-Pragmatic	neutral	YES	true	nit	good	false	Claude	NO	true	minor	adequate	false	Codex	NO	partially-true	nit	adequate	false	Cursor	latent	oos
OOS_5	Cursor-Requirements	rejected	NO	true	nit	adequate	false	Claude	NO	true	minor	adequate	false	Codex	NO	partially-true	nit	adequate	false	Cursor	latent	oos
